青云店-南口,39.678951,116.517165
永宁南口,40.522932,116.179988
永安路南口,40.206134,116.240859
航安路-南口,40.062229,116.598084
小辛庄南口,39.817768,116.823724
古城西街南口,39.913576,116.183083
新平西路南口,40.140072,117.106322
北小营南口,40.174783,116.177904
横桥南口,40.174177,116.200288
骏城小区南,39.762582,116.323523
骏城小区,39.76414,116.324078
大兴八中,39.762653,116.326656
康庄西路口东,39.762576,116.320236
丽园小区北站,39.758844,116.325854
丽园b区,39.758838,116.325878
康庄路西口,39.762137,116.329251
天键广场,39.75896,116.320943
原生墅小区,39.764019,116.329089
兴盛街189号院,39.757494,116.324478
郁金香花园南门,40.007735,116.56598
永宁东口,40.53579,116.173285
永宁车站,40.534759,116.165826
永宁南关东,40.523025,116.179936
永偏路西,40.533874,116.201914
孔化营村北,40.519377,116.156276
上磨村北,40.529458,116.110097
吴坊营东站,40.519303,116.120056
吴坊营村东,40.52216,116.125476
新华营西,40.525472,116.134046
溪水小区,40.474805,116.846662
黑桥北站,40.00512,116.536897
黑桥村,40.006935,116.534245
黑桥,40.011311,116.53644
黑桥南站,39.99892,116.537748
黑桥村西,40.004439,116.527055
南皋公交场站,40.007915,116.527023
公交一恩吉威LPG加气站,40.007676,116.526807
京旺家园一区,40.013608,116.53743
京旺家园中街南口,40.01432,116.536051
南皋,40.007754,116.525152
惠新东桥北,39.99739,116.430556
左家庄北里,39.963379,116.451757
香河园街道西坝河南里社区(和谐促进委员分会),39.966518,116.444875
静安里,39.962015,116.452107
左家庄东街,39.961298,116.454844
静安东街,39.965205,116.455558
国际展览中心,39.96559,116.447667
左家庄中街,39.960744,116.447588
三元桥西,39.961465,116.456791
柳芳北里,39.963526,116.446216
静安庄,39.969113,116.452879
石门营环岛西,39.90129,116.113022
石门营,39.898828,116.116288
石门营新区,39.896015,116.109322
紫金路北口,39.896071,116.119839
四得公园北,39.980203,116.48412
四得公园,39.978576,116.484807
川北小区南门,40.467949,115.991274
延庆二小,40.47135,115.989449
妫水北街南,40.468754,115.984273
延庆小营路口,40.464526,115.994358
东关小区南门,40.463318,115.987556
延庆二小路口,40.472122,115.987771
延庆电信局,40.472747,115.99208
延庆东关,40.463593,115.985212
仰山路东口,40.032991,116.422003
拂林路,40.030951,116.42119
北苑,40.034055,116.424543
地铁北苑路北站,40.037078,116.424602
仰山桥北,40.034656,116.416068
北苑桥东,40.028388,116.426568
天月园小区,40.039054,116.419404
红军营南路西口,40.038857,116.426867
北京有色稀土研究所,40.03987,116.42433
天乐园小区,40.040695,116.417128
同济南路,39.784918,116.541934
永康公寓(东行),39.778488,116.544261
地铁同济南路站,39.778506,116.544229
同济南路地铁站,39.778442,116.544262
同济南路南站,39.78113,116.546065
亦庄第二公交场站(北行),39.779072,116.548017
永康公寓(西行),39.778391,116.543861
永康公寓,39.778139,116.544009
亦庄第二公交场站(临时站),39.778913,116.548208
亦庄第二公交场站,39.778903,116.548213
27路(安定门外-定慧寺东),39.957961,116.413333
27路(定慧寺东-安定门外),39.93042,116.293106
二七厂北,39.843123,116.206273
二七厂,39.838355,116.204778
宝城客运公司,40.384579,116.879381
华都肉鸡公司,40.145042,116.466879
西大街路口西,39.914056,116.662036
西大街路口东,39.914354,116.666795
丰台体育中心南门,39.871674,116.279245
四季花城,40.132177,116.647714
万科四季花城,40.132219,116.6477
57路(靛厂新村-四惠枢纽站),39.89588,116.287698
5路(菜户营桥-北土城公交场站),39.874265,116.352407
五路(北行),39.944536,116.303365
经海五路南口(北行),39.788592,116.576803
东四十条桥东,39.939566,116.445368
东四十条桥西,39.939681,116.437428
东四十条桥南,39.937142,116.440712
公交东四十条站自行车租赁点,39.939592,116.429188
北京公交集团东四十条场站,39.940149,116.439896
东四十条,39.939746,116.430735
东四十条桥,39.938566,116.440015
东四十二条,39.942409,116.423456
营城,40.495493,116.231613
老窦建材仓储批发,40.475246,116.002553
农机配件(常柴专卖店),40.475179,116.002552
锅炉太阳能超市,40.472615,116.006769
再城营北口,39.644252,116.632684
石河营建材城,40.475194,116.001908
营城子,40.37056,115.964755
营城子村,40.519944,116.301306
北京启典口腔门诊部,39.905489,116.494994
营城子新建居民小区,40.369203,115.964555
沙子营汽车站,40.091113,116.477473
沙子营汽车站东,40.093579,116.480842
沙子营村西,40.086345,116.475027
沙子营村北,40.084412,116.475016
顺义车管所,40.096414,116.484425
京顺车管所,40.096418,116.484426
沙子营村南,40.081913,116.474543
南七家路口,40.088648,116.462745
南七家,40.091713,116.462192
炼油厂,40.07795,116.473544
金安桥西,39.930744,116.166481
古城路社区警务站,39.919418,116.194439
八千平社区警务站,39.92241,116.194129
古城路社区卫生站,39.919416,116.195028
西路北社区警务工作站,39.920947,116.192315
苹三区社区警务工作站,39.934779,116.185927
金顶街四区-社区来京人员出租房屋服务站,39.933772,116.178678
十万平社区-消费者投诉站,39.914533,116.190025
首钢特钢公司,39.928565,116.192548
十万平社区-交通安全宣传站,39.91454,116.190034
十万平社区-妇女维权工作站,39.91454,116.190043
同心庄公交场站,39.755692,116.459527
同心庄,39.754786,116.459982
东平里,40.059489,116.602012
白浮,40.190695,116.246166
蓝色水湾足道会馆,40.206177,116.256164
龙山跃地下停车场-入口,40.205913,116.239776
如意轩豆捞,40.20618,116.25657
白浮泉路,40.206319,116.248525
白浮大桥,40.190462,116.244096
白浮泉中路,40.206854,116.251242
白浮泉路西口,40.206095,116.239718
金顶北路,39.936194,116.173331
金顶北街,39.938506,116.17567
金顶街北口,39.935115,116.175481
模式口东里,39.941822,116.17706
赵山小区,39.936191,116.170742
模式口南里,39.936166,116.168547
金顶街三区,39.932559,116.177442
金顶街五区,39.93263,116.172039
金顶街四区,39.933004,116.181609
金顶路西口,39.932618,116.169296
八仙庄东,40.141529,116.443359
曹碾西口,40.147691,116.445955
八仙庄南大街,40.139773,116.444462
八仙庄北大街,40.144166,116.441903
羊各庄村北,40.136812,116.446178
曹碾中街,40.147652,116.445968
曹碾东口,40.148132,116.448732
曹碾村,40.149515,116.44252
北亚花园,40.138767,116.433738
北太平路口西,39.910039,116.267759
永定路口南,39.911823,116.271069
北太平路口南,39.908016,116.271094
采石路口,39.906421,116.266931
北太平路西口,39.909951,116.262748
永定路口西,39.913607,116.269947
北太平路东口,39.910114,116.273881
永定路南口,39.906486,116.272564
永定路口东,39.9137,116.272366
玉泉路口东,39.913512,116.261304
白河公园北,40.422996,116.846466
白河公园,40.415026,116.85416
地坛北门,39.963335,116.421723
白家楼桥东,39.929857,116.560808
白家楼,39.93265,116.550015
公共厕所,39.931836,116.550235
六营门,39.80449,116.425363
梅园小区,39.801662,116.425887
东营房,39.796911,116.426815
万源路,39.809588,116.428521
南苑机场家属区,39.799685,116.418014
万源南路东口,39.805165,116.436318
东高地,39.811451,116.421919
康福园小区,39.800039,116.436532
南小街,39.794136,116.427259
南小街东里,39.792991,116.424173
企胜路口,39.706899,116.59703
军民结合产业园南,39.706935,116.596966
亚美特家具,39.711237,116.59569
红金龙国际企业港,39.710793,116.589887
长子营开发区,39.707284,116.586998
长子营工业区,39.707178,116.586989
朱脑村,39.711008,116.587246
长子营中学,39.696207,116.597316
沁水营村,39.695059,116.597412
靳七营村西口,39.69746,116.587353
地铁北宫门站,40.008681,116.283439
颐和园北宫门,40.009277,116.281239
坡上村,40.008022,116.291161
颐和园,40.004478,116.29092
青龙桥,40.011723,116.27482
安河桥,40.01456,116.277432
颐和园新建宫门,39.997883,116.287464
中央党校北门,40.018472,116.284555
西苑北站,40.00591,116.29577
凉水河二街东口,39.767548,116.528189
博兴三路北口,39.770489,116.529948
博兴三路口,39.764022,116.528983
泰河路口,39.76389,116.528955
凉水河二街,39.769402,116.522141
博兴三路中路,39.762246,116.528194
博兴路口,39.767113,116.518004
国盛科技园,39.774182,116.53337
博兴一路北口,39.762294,116.536147
